EventId,Date,Symbol,EntryPrice,ExitPrice,NotionalUsd,NetPnlUsd,RoiPct,Outcome,HoldTimeSec,SHA256Proof
EVT_001,2026-03-05,SOLUSDT,140.2387,143.6044,200,4.6,2.3%,TAKE_PROFIT,42s,e101acb93c3ab868b901ba9a0ff59d3dd1b925be6b2654016a7036ee749335d7
EVT_002,2026-03-08,SOLUSDT,133.0702,136.2639,200.09,4.6,2.3%,TAKE_PROFIT,42s,1715a67e99c5e3266af135485df88112a5c73cdff93623174d063f51c1ba26bb
EVT_003,2026-03-11,SOLUSDT,135.7207,138.978,200.18,4.6,2.3%,TAKE_PROFIT,42s,0346fe733307b5004479ded207ce1ba509c5dad9b77df78dcb49da88a86440d9
EVT_004,2026-03-14,SOLUSDT,126.8353,125.3194,200.28,-2.59,-1.29%,STOP_LOSS,18s,8f79acd0b53abe77c788c03132c08306b492bcaa9003fc1f2bc2c08f3ad6e7fb
EVT_005,2026-03-17,SOLUSDT,142.9495,146.3803,200.22,4.6,2.3%,TAKE_PROFIT,42s,c0c06f5d96e9ae164a6175365e208451979b3745f2d2a8fc25d448b093075c51
EVT_006,2026-04-20,SOLUSDT,146.333,149.845,200.32,4.6,2.3%,TAKE_PROFIT,42s,6475918abc95e1e4272f420c0b8f6205dc77956cbf83e387818600d1f11787a2
EVT_007,2026-04-23,SOLUSDT,130.4698,133.6011,200.41,4.61,2.3%,TAKE_PROFIT,42s,66436c5d043cf6ab3aa8af5e4e2c9c95242fa99da7beddf75a1258d257f5602d
EVT_008,2026-04-26,SOLUSDT,134.2549,137.477,200.5,4.61,2.3%,TAKE_PROFIT,42s,c60e95855ce4524e702430d27e8ee3ab069cc100719a156c3692a8604bac6dbf
EVT_009,2026-04-01,SOLUSDT,139.566,137.8979,200.59,-2.6,-1.3%,STOP_LOSS,18s,fe2a17aa3c9955d4758db3d597e7b9a176dce0b129fc159a62333f3d42116ed0
EVT_010,2026-04-04,SOLUSDT,133.5521,136.7574,200.54,4.61,2.3%,TAKE_PROFIT,42s,6106c13383c133088469c47514a05dac436126d5daf250225f97c5b9170c62ba
EVT_011,2026-05-07,SOLUSDT,140.6905,144.0671,200.63,4.61,2.3%,TAKE_PROFIT,42s,8520078a945fe93fa70db45f2bfc2a2c7b362ff06fd877ec951fd5b087606e48
EVT_012,2026-05-10,SOLUSDT,147.3671,150.9039,200.73,4.61,2.3%,TAKE_PROFIT,42s,9f5e3bfbe429ed222e034fe4f449ce347dc7f4842ca1a9039e59d769717f0b68
EVT_013,2026-05-13,SOLUSDT,0,0,0,0,0%,BLOCKED_BY_FILTER,0s,43eeade46b6d2baded5487ac39633acbf36d428c1ff866a4e4208c9bfbf6cd41
EVT_014,2026-05-16,SOLUSDT,134.9978,138.2377,200.82,4.62,2.3%,TAKE_PROFIT,42s,f9aba6f733e5caf21f34ea359606d7365fc464c9e06a9b8f681219effcd0960f
EVT_015,2026-05-19,SOLUSDT,136.6846,139.965,200.91,4.62,2.3%,TAKE_PROFIT,42s,672279470f459c2cf630ae2c03f01ffc57960972ad11f527e80845b7ff477e11
EVT_016,2026-06-22,SOLUSDT,131.022,129.456,201,-2.6,-1.29%,STOP_LOSS,18s,c10242a33474d9138609a8539d387c0e64b6d18a1ac60471b30973f691caf31b
EVT_017,2026-06-25,SOLUSDT,141.4937,144.8895,200.95,4.62,2.3%,TAKE_PROFIT,42s,ff4bf9da518cefbebc2a6bae3ba1308c81861178c9f0cd0b8d6415f472367998
EVT_018,2026-06-28,SOLUSDT,144.315,147.7786,201.04,4.62,2.3%,TAKE_PROFIT,42s,9730912a7fb3921090d16a4b559128a94922058d1398fdc78c3ac3be717f04b4
EVT_019,2026-06-03,SOLUSDT,126.6446,125.1309,201.13,-2.6,-1.29%,STOP_LOSS,18s,a41137f39280b982e212e91ced1a973c29c0668d725ce8cbdcc07bf0f5a2290c
EVT_020,2026-06-06,SOLUSDT,141.6644,145.0643,201.08,4.62,2.3%,TAKE_PROFIT,42s,adee8726f9e030c53570c4e19b81933604b12009f2cb093a0dccc3c28c78b071
EVT_021,2026-04-03,BTCUSDT,92117.8032,94328.6305,201.18,4.62,2.3%,TAKE_PROFIT,42s,b5a93c2edddf173a1eb543517e848be96dc9745977b5df6de5adfbb3c542bb86
EVT_022,2026-04-07,BTCUSDT,89018.154,91154.5897,201.27,4.63,2.3%,TAKE_PROFIT,42s,ff0ea8bd36128f5041823db974d3368d91740cb3b1727b5907b21e07b212cfd0
EVT_023,2026-04-11,BTCUSDT,90784.8928,89699.8144,201.36,-2.61,-1.3%,STOP_LOSS,18s,9d81353aff41707429352441fb74d1f64ac608ec2e57380cc03ed4144837fcdc
EVT_024,2026-04-15,BTCUSDT,87423.9024,89522.0761,201.31,4.63,2.3%,TAKE_PROFIT,42s,96d065abf3d90f80578d2f4ea44914828ecccb0e11fb8dc89db2c7c5290ddb27
EVT_025,2026-05-19,BTCUSDT,92617.7952,94840.6223,201.4,4.63,2.3%,TAKE_PROFIT,42s,89bb6330f735fdd4cd18216fabf8c2c285a18ead83baac542942255a0a9c8c48
EVT_026,2026-05-23,BTCUSDT,89817.0368,91972.6457,201.49,4.63,2.3%,TAKE_PROFIT,42s,20ddc1b9613f73491d1950a1e970d3954c0c82725f9c0e57c57ce04fb049fbcd
EVT_027,2026-05-27,BTCUSDT,88401.7984,90523.4416,201.59,4.63,2.3%,TAKE_PROFIT,42s,f8a9b2eb6ba2f677d212b6ae13440f2557e05d642aa66fbb7d41f9c2e94703e2
EVT_028,2026-05-03,BTCUSDT,90963.906,89876.688,201.68,-2.61,-1.29%,STOP_LOSS,18s,fbc9ec5524baa438b3eb190c9c66d3edcd0c436a3f44ea4585d63dde6b53decd
EVT_029,2026-06-07,BTCUSDT,88268.4672,90386.9104,201.63,4.63,2.3%,TAKE_PROFIT,42s,063c44604d6c9c90185c227537a7a5ec96055bf30689362965ff73f991d49f9b
EVT_030,2026-06-11,BTCUSDT,0,0,0,0,0%,BLOCKED_BY_FILTER,0s,2062a7dd96f95197311d022167ec8c28be53804cf2aa09ed01c5511733442683
EVT_031,2026-06-15,BTCUSDT,87656.1276,89759.8747,201.72,4.64,2.3%,TAKE_PROFIT,42s,155ed5abf460837657f2d8878d5030abfb397ccbfd73ad61777cf8148b4162fe
EVT_032,2026-06-19,BTCUSDT,89623.4656,91774.4288,201.81,4.64,2.3%,TAKE_PROFIT,42s,7a3684c3be733dff9eccc0343f6dd377b7fb899edcf09825f667f7907b16b707
EVT_033,2026-07-23,BTCUSDT,86543.796,88620.8471,201.9,4.64,2.3%,TAKE_PROFIT,42s,6337858f30029cc282770f86a706b44caedc94bf52e14a6a44f5f4d5a76ca722
EVT_034,2026-07-27,BTCUSDT,90672.0432,89588.3136,202,-2.62,-1.3%,STOP_LOSS,18s,d79d2777a30273c95745d6ca679e7ee8c1d49a86cdc8cd087f6333fe32f3d368
